61,31,26,8,0,61,1,24,24,66,57
55,19,31,9,2,62,1,49,30,68,47
60,2,34,6,30,52,0,52,29,68,29
37,0,4,0,15,22,5,2,4,26,16
60,30,24,16,2,30,1,16,36,90,80
68,16,31,19,7,41,0,72,57,100,100
70,1,36,15,60,26,0,72,45,76,29
42,0,2,1,28,7,0,3,0,23,22
43,29,10,8,0,42,1,15,19,77,58
54,29,19,11,0,44,2,27,26,73,41
63,12,33,12,6,51,7,62,46,65,57
46,3,23,0,25,46,2,15,7,44,24
66,39,17,13,0,16,0,6,32,100,100
85,33,31,16,1,46,1,11,45,100,100
91,5,52,22,17,35,0,100,70,93,54
76,2,22,10,64,54,0,30,29,65,36
38,32,2,5,0,24,2,9,14,41,60
42,26,6,9,0,35,3,16,18,22,59
12,4,32,15,11,42,27,51,47,0,34
5,1,33,10,16,40,24,25,31,3,13
66,43,6,5,0,14,0,4,21,60,100
64,33,13,11,0,24,1,5,32,52,94
28,2,48,27,16,58,5,83,85,0,44
15,0,46,24,41,27,4,57,68,4,22
4,28,0,0,0,9,1,2,2,9,63
13,25,0,1,0,9,1,4,3,17,53
47,4,11,9,0,22,12,3,12,69,53
52,2,30,9,0,43,38,27,30,97,37
8,40,0,1,0,11,1,0,4,17,100
18,31,2,2,0,5,2,2,5,30,10
69,3,23,10,0,13,6,51,22,99,63
81,0,49,25,59,63,17,54,61,100,49
58,15,21,12,1,40,1,17,29,94,55
70,5,29,13,3,42,2,57,38,96,67
66,1,39,5,27,41,20,99,33,93,54
64,0,33,1,37,33,20,20,8,59,42
85,14,38,19,3,35,0,27,45,100,100
92,4,39,23,8,54,1,53,66,100,100
100,0,55,23,89,75,11,100,63,100,66
99,0,26,11,83,60,12,30,28,96,62
0,14,0,0,0,0,0,0,0,3,53
0,16,0,0,0,0,0,0,0,4,67
0,17,1,0,0,0,3,2,0,3,40
6,22,0,0,0,2,3,5,2,7,40
0,23,0,0,0,0,0,0,1,5,100
0,23,0,0,0,0,0,0,0,5,100
0,23,0,1,0,0,0,2,0,0,54
0,23,0,1,0,0,3,5,0,10,52
0,15,0,0,0,0,0,0,2,5,65
2,16,0,1,0,2,0,0,3,6,63
9,20,0,2,0,3,0,2,8,16,43
5,4,0,9,0,0,0,0,2,11,33
1,26,0,0,0,2,0,0,3,6,100
2,24,0,1,0,2,0,0,5,7,100
14,31,0,3,0,2,0,3,12,35,54
10,8,0,0,0,0,3,0,0,18,26
0,16,0,0,0,6,0,0,1,5,62
0,16,0,0,0,0,0,0,0,8,42
2,5,0,0,0,0,0,0,0,0,27
2,2,0,0,0,0,0,0,0,4,10
0,21,0,0,0,12,0,0,3,7,100
1,19,0,0,0,0,0,0,0,11,100
3,6,0,0,0,0,0,0,2,8,41
2,2,0,0,0,0,0,0,0,5,16
0,17,0,0,0,0,0,0,0,5,68
0,19,0,0,0,0,0,0,0,3,16
1,14,0,1,0,0,0,0,0,4,43
0,4,6,0,0,0,6,0,2,5,19
0,24,0,0,0,2,0,0,1,4,100
0,25,0,0,0,1,0,0,0,3,100
2,17,0,1,0,0,2,0,0,3,49
5,8,0,0,0,2,6,0,0,7,19
0,19,0,0,0,0,0,0,0,18,70
0,16,0,0,0,0,0,0,0,23,49
0,14,0,1,0,0,0,0,0,0,50
0,6,0,0,0,0,0,0,0,13,37
0,22,0,0,0,7,0,0,0,32,100
0,24,0,0,0,2,0,0,0,43,100
1,17,0,1,0,2,0,0,0,28,68
2,7,0,1,0,2,0,0,0,24,46
