1.21,1.37,380,250,1.5
1.21,1.37,380,100,1.5
1.21,1.37,380,10,1.5
1.21,1.37,380,1,1.5
1.21,1.37,380,250,3
1.21,1.37,380,100,3
1.21,1.37,380,10,3
1.21,1.37,380,1,3
0.66,1.51,380,250,1.5
0.66,1.51,380,100,1.5
0.66,1.51,380,10,1.5
0.66,1.51,380,1,1.5
0.66,1.51,380,250,3
0.66,1.51,380,100,3
0.66,1.51,380,10,3
0.66,1.51,380,1,3
0.75,2.11,347,250,1.5
0.75,2.11,347,100,1.5
0.75,2.11,347,10,1.5
0.75,2.11,347,1,1.5
0.75,2.11,347,250,3
0.75,2.11,347,100,3
0.75,2.11,347,10,3
0.75,2.11,347,1,3
0.31,2.19,375,250,1.5
0.31,2.19,375,100,1.5
0.31,2.19,375,10,1.5
0.31,2.19,375,1,1.5
0.31,2.19,375,250,3
0.31,2.19,375,100,3
0.31,2.19,375,10,3
0.31,2.19,375,1,3
0.77,1.33,452,250,1.5
0.77,1.33,452,100,1.5
0.77,1.33,452,10,1.5
0.77,1.33,452,1,1.5
0.77,1.33,452,250,3
0.77,1.33,452,100,3
0.77,1.33,452,10,3
0.77,1.33,452,1,3
1.82,0.68,300,250,1.5
1.82,0.68,300,100,1.5
1.82,0.68,300,10,1.5
1.82,0.68,300,1,1.5
1.82,0.68,300,250,3
1.82,0.68,300,100,3
1.82,0.68,300,10,3
1.82,0.68,300,1,3
0.78,1.27,528,250,1.5
0.78,1.27,528,100,1.5
0.78,1.27,528,10,1.5
0.78,1.27,528,1,1.5
0.78,1.27,528,250,3
0.78,1.27,528,100,3
0.78,1.27,528,10,3
0.78,1.27,528,1,3
1.18,0.84,549,250,1.5
1.18,0.84,549,100,1.5
1.18,0.84,549,10,1.5
1.18,0.84,549,1,1.5
1.18,0.84,549,250,3
1.18,0.84,549,100,3
1.18,0.84,549,10,3
1.18,0.84,549,1,3
2.3,0.35,417,250,1.5
2.3,0.35,417,100,1.5
2.3,0.35,417,10,1.5
2.3,0.35,417,1,1.5
2.3,0.35,417,250,3
2.3,0.35,417,100,3
2.3,0.35,417,10,3
2.3,0.35,417,1,3
2.3,1.27,325,250,1.5
2.3,1.27,325,100,1.5
2.3,1.27,325,10,1.5
2.3,1.27,325,1,1.5
2.3,1.27,325,250,3
2.3,1.27,325,100,3
2.3,1.27,325,10,3
2.3,1.27,325,1,3
